
VERTEX;V1;Station A;40.7128;74.0060
VERTEX;V2;Station B;41.8781;87.6298
VERTEX;V3;Station C;51.5074;0.1278
VERTEX;V4;Station D;48.8566;2.3522
VERTEX;V5;Station E;34.0522;118.2437
VERTEX;V6;Station F;55.7558;37.6176
VERTEX;V7;Station G;35.6895;139.6917
VERTEX;V8;Station H;19.0760;72.8777

EDGE;E1;V1;V2;2.5
EDGE;E2;V2;V3;3.8
EDGE;E3;V3;V4;5.2
EDGE;E4;V4;V5;4.6
EDGE;E5;V5;V6;6.3
EDGE;E6;V6;V7;7.5
EDGE;E7;V7;V8;5.9
EDGE;E8;V8;V1;4.1
EDGE;E9;V2;V4;3.2
EDGE;E10;V3;V5;4.9
EDGE;E11;V4;V6;6.7
EDGE;E12;V5;V7;8.1
EDGE;E13;V6;V8;3.6
EDGE;E14;V7;V1;5.3
EDGE;E15;V8;V3;4.4
